id,nombre,descripcion,casa_productora,precio,existencia
963,CVS Moisturizing Lubricating Eye,Postproc hematoma of eye and adnexa fol other procedure,CVS Pharmacy,$984.36,01
964,PROAIR,Nontoxic diffuse goiter,"Preferred Pharmaceuticals, Inc",$39.45,03
965,ANTI-AGING HAND SANITIZER,Underdosing of emetics,CVS PHARMACY,$25.85,15
966,Estropipate,Duodenitis,"Physicians Total Care, Inc.",$284.29,13
967,Olay Regenerist,"Disp fx of r ulna styloid pro, 7thH",Procter & Gamble Manufacturing Company,$537.98,07
968,Neutrogena SkinClearing,Personal history of other diseases and conditions,Neutrogena Corporation,$78.61,01
969,Escitalopram Oxalate,Other subluxation of unspecified shoulder joint,Aurobindo Pharma Limited,$851.86,01
970,Zarontin,"Unspecified open wound, unspecified ankle, subs encntr",Parke-Davis Div of Pfizer Inc,$44.92,10
971,SEROQUEL,"Minor laceration of unsp internal jugular vein, init encntr",Cardinal Health,$343.93,11
972,BETHANECHOL CHLORIDE,"Unsp fracture of left toe(s), init encntr for open fracture","Golden State Medical Supply, Inc.",$866.12,14
973,"SAGE MIX, COMMON/DARK-LEAVED/DRAGON/PASTURE POLLEN","Nondisp spiral fx shaft of unsp tibia, 7thQ","Allergy Laboratories, Inc.",$12.34,13
974,Head and Shoulders Conditioner,"Traum hemor cereb, w LOC w dth d/t oth cause bf consc, sqla",Procter & Gamble Manufacturing Co.,$374.31,02
975,MORPHINE SULFATE,"Burn of third degree of left thigh, initial encounter","Mallinckrodt, Inc.",$759.21,01
976,COUMADIN,Functional disorders of polymorphonuclear neutrophils,"Aphena Pharma Solutions - Tennessee, Inc.",$388.71,14
977,ADVATE,"Hydroxyapatite deposition disease, hand",Baxter Healthcare Corporation,$882.67,06
978,TACT,"Displ intertroch fx l femr, 7thM","Sato Pharmaceutical Inc., Ltd.",$742.43,11
979,Methylprednisolone,"Wedge comprsn fx unsp thor vert, subs for fx w routn heal","JUBILANT CADISTA PHARMACEUTICALS, INC.",$19.44,10
980,Lumene Time Freeze Anti-Age CC Color Correcting SPF 20 Sunscreen Broad Spectrum LIGHT,Traum rupt of palmar ligmt of r little finger at MCP/IP jt,LUMENE OY,$677.85,01
981,vecuronium bromide,"Displ commnt fx unsp patella, init for opn fx type 3A/B/C",Cardinal Health,$674.76,12
982,Primidone,"Displ spiral fx shaft of ulna, r arm, 7thN",McKesson Contract Packaging,$646.77,04
983,DYSPEPSIA HEADACHE,Obstructed labor due to breech presentation,Natural Health Supply,$310.45,08
984,Day Time Gelcap,"Drug-induced chronic gout, right shoulder, with tophus","Kareway Product, Inc.",$767.46,13
985,Film Coated Ibuprofen,"Subluxation of tarsal joint of left foot, sequela",Family Dollar,$236.45,03
986,Aluminum Hydroxide,"Unsp injury of musc/fasc/tend at forarm lv, right arm, subs",LLC Federal Solutions,$645.30,03
987,DONEPEZIL HYDROCHLORIDE,"Injury of facial nerve, right side, sequela","Accord Healthcare, Inc.",$173.17,05
988,Metformin Hydrochloride,Non-prs chronic ulcer oth prt unsp lower leg w unsp severity,"Amneal Pharmaceuticals of New York, LLC",$116.98,04
989,ropinirole,"Drug-induced chronic gout, unspecified shoulder, with tophus","Glenmark Generics Inc., USA",$85.61,06
990,Lansoprazole,"Follicular lymphoma grade IIIa, unspecified site",Wockhardt Limited,$969.99,05
991,Senna-Lax,Drowning and submersion due to watercraft overturning,McKesson Contract Packaging,$24.12,15
992,ESIKA 3-IN-1 PRO MAKE UP FOUNDATION SPF 20 BASE DE MAQUILLAJE PARA ROSTRO 3-EN-1 PRO FPS 20,"Complete traumatic trnsphal amp of r idx fngr, sequela",Ventura Corporation LTD,$215.89,14
993,Clarins Rouge Hydra Nude - 02 Nude Coral,"Fx unsp metatarsal bone(s), right foot, init for opn fx",Laboratoires Clarins S.A.,$270.61,11
994,Benzphetamine Hydrochloride,"Nondisp trimalleol fx l low leg, init for opn fx type I/2","Paddock Laboratories, Inc.",$598.19,10
995,SESAME SEED,Cutaneous listeriosis,"Allergy Laboratories, Inc.",$552.01,04
996,NAPROXEN,"Synovial hypertrophy, not elsewhere classified, left thigh",West-Ward Pharmaceutical Corp,$308.21,10
997,Ibuprofen and Pseudoephedrine Hydrochloride,"Strain flexor musc/fasc/tend r mid fngr at wrs/hnd lv, init",Topco Associates LLC,$76.86,15
998,Meijer Sport SPF 50,"Displ apophyseal fx unsp femr, 7thF",Meijer Distribution Inc,$197.66,15
999,equaline hair regrowth treatment,"Strain of unsp musc/tend at lower leg level, right leg, init",Supervalu Inc,$916.77,07
1000,CICLOPIROX,"Other fracture of shaft of radius, left arm, sequela","Paddock Laboratories, Inc.",$767.09,01
